Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,108.549,108.549,screen dark,20.0944172016
0,1.821,1.821,wifi scan,0.41422032059999997
1.821,4.246,2.4250000000000007,wifi running,0.03345665800000001
4.246,4.247,0.0009999999999994458,wifi scan,0.00022746859999987393
4.247,9.278,5.031000000000001,wifi running,0.06941049336
9.278,12.116,2.837999999999999,wifi scan,0.6455558867999998
12.116,68.57300000000001,56.45700000000001,wifi running,0.7789123879200001
68.57300000000001,71.408,2.8349999999999937,wifi scan,0.6448734809999985
71.408,108.549,37.141000000000005,wifi running,0.51241803496

